0,53.64
1,59.07
2,58.67
3,59.47
4,59.3
5,58.96
6,58.39
7,60.07
8,59.53
9,59.43
10,59.87
11,58.92
12,58.57
13,58.93
0,53.64
14,59.31
1,59.07
15,59.61
2,58.67
16,59.68
3,59.47
17,60.46
4,59.3
18,59.24
5,58.96
19,59.88
6,58.39
20,59.25
7,60.07
21,58.86
8,59.53
22,60.15
9,59.43
23,58.83
10,59.87
24,58.93
11,58.92
25,59.23
12,58.57
13,58.93
26,59.2
14,59.31
27,59.09
15,59.61
28,59.92
16,59.68
29,60.15
17,60.46
30,59.78
18,59.24
31,59.59
19,59.88
32,59.81
20,59.25
33,59.61
21,58.86
34,59.23
22,60.15
35,59.81
23,58.83
36,60.08
24,58.93
37,60.06
25,59.23
38,60.07
26,59.2
39,59.89
27,59.09
40,60.65
28,59.92
41,60.39
29,60.15
42,60.24
30,59.78
43,59.22
31,59.59
44,59.87
32,59.81
45,59.62
33,59.61
46,61.12
34,59.23
47,59.76
35,59.81
48,61.51
36,60.08
49,59.78
37,60.06
38,60.07
50,59.94
39,59.89
51,60.83
40,60.65
52,60.15
41,60.39
53,60.44
42,60.24
54,60.0
43,59.22
55,61.83
44,59.87
56,61.27
45,59.62
57,60.01
46,61.12
58,59.25
47,59.76
59,60.08
48,61.51
60,59.8
49,59.78
61,60.95
50,59.94
62,61.48
51,60.83
63,59.9
52,60.15
64,60.79
53,60.44
65,60.83
54,60.0
66,59.97
55,61.83
67,59.94
56,61.27
68,60.91
57,60.01
69,60.61
58,59.25
70,60.26
59,60.08
71,60.02
60,59.8
72,61.08
61,60.95
73,61.29
62,61.48
63,59.9
74,61.19
64,60.79
75,61.47
65,60.83
76,61.67
66,59.97
77,60.92
67,59.94
78,61.11
68,60.91
79,59.9
69,60.61
80,61.26
70,60.26
81,60.64
71,60.02
82,60.51
72,61.08
83,59.71
73,61.29
84,60.46
74,61.19
75,61.47
76,61.67
77,60.92
78,61.11
79,59.9
80,61.26
81,60.64
82,60.51
83,59.71
84,60.46
85,60.4
86,61.12
87,61.11
88,60.83
89,60.6
90,60.92
91,62.25
92,61.53
93,61.32
94,61.55
95,60.31
96,60.36
97,60.97
98,61.43
99,60.28
100,61.53
101,61.64
102,60.52
103,61.84
104,61.23
105,61.46
106,60.93
107,61.43
108,61.47
109,61.4
110,60.98
111,61.84
112,61.17
113,61.31
114,60.93
115,62.16
116,61.79
117,62.01
118,61.7
119,62.23
120,60.99
121,61.75
122,61.22
123,61.08
124,60.78
125,61.66
126,61.38
127,61.59
128,62.19
129,61.99
130,61.95
131,62.2
132,61.06
133,61.83
134,61.42
135,61.83
136,61.37
137,61.77
138,61.62
139,62.79
140,61.65
141,62.48
142,61.44
143,61.45
144,62.12
145,61.9
146,62.59
147,61.78
148,62.73
149,62.33
150,61.73
151,63.39
152,62.08
153,62.87
154,61.67
155,61.98
156,61.92
157,61.59
158,63.16
159,62.25
160,62.99
161,62.26
162,62.73
163,61.7
164,62.57
165,61.93
